epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1050.73,0.81333,0.56135,1.10701,0.95816,0.77512,0.84466,0.67302,0.96151,0.75249,1.28671,0.00071785,0.00071785,0.00071785
59,1068.27,0.81561,0.54904,1.11889,0.92042,0.7107,0.81209,0.62594,1.0279,1.03621,1.29151,0.0007129,0.0007129,0.0007129
60,1086.03,0.77924,0.53878,1.09041,0.85914,0.78022,0.80656,0.63602,0.9779,0.92283,1.2919,0.00070795,0.00070795,0.00070795
61,1103.62,0.79963,0.55273,1.08812,0.90991,0.77074,0.83836,0.64549,1.06033,0.81572,1.3438,0.000703,0.000703,0.000703
62,1121.31,0.77013,0.52425,1.0819,0.91438,0.78635,0.83431,0.64299,1.06075,0.92295,1.28486,0.00069805,0.00069805,0.00069805
63,1138.68,0.76818,0.52424,1.07312,0.97123,0.74469,0.84531,0.6432,1.09769,0.81324,1.35205,0.0006931,0.0006931,0.0006931
64,1155.75,0.79457,0.52454,1.08348,0.90091,0.6938,0.79955,0.62967,1.00315,0.97286,1.32252,0.00068815,0.00068815,0.00068815
65,1172.73,0.78581,0.52875,1.07819,0.91019,0.76838,0.84372,0.61659,1.06865,0.85712,1.3278,0.0006832,0.0006832,0.0006832
66,1191.26,0.77296,0.55969,1.08068,0.91972,0.76173,0.84251,0.65811,1.02371,0.80442,1.30918,0.00067825,0.00067825,0.00067825
67,1209.76,0.76713,0.51624,1.0735,0.90166,0.72437,0.84118,0.63223,1.06044,0.84767,1.33138,0.0006733,0.0006733,0.0006733
68,1225.9,0.79818,0.5413,1.08451,0.86382,0.81835,0.85857,0.66101,0.99228,0.84441,1.28101,0.00066835,0.00066835,0.00066835
69,1243.61,0.77868,0.52258,1.08379,0.92833,0.68145,0.79934,0.62624,1.10372,1.21234,1.34632,0.0006634,0.0006634,0.0006634
70,1261.89,0.77321,0.5142,1.08507,0.86303,0.78631,0.82957,0.64465,1.08078,0.85145,1.33093,0.00065845,0.00065845,0.00065845
71,1282.95,0.73819,0.50482,1.06165,0.83336,0.77502,0.8089,0.62218,1.13892,1.01476,1.38932,0.0006535,0.0006535,0.0006535
72,1306.88,0.73268,0.49897,1.06618,0.95691,0.6785,0.8167,0.60782,1.09149,1.18564,1.36462,0.00064855,0.00064855,0.00064855
73,1328.95,0.72899,0.47971,1.05231,0.91132,0.70862,0.80155,0.62587,1.03639,0.97352,1.31637,0.0006436,0.0006436,0.0006436
74,1356.23,0.74562,0.50218,1.08828,0.90362,0.75521,0.82064,0.61757,1.13396,0.90262,1.40078,0.00063865,0.00063865,0.00063865
75,1376.93,0.75046,0.5098,1.06137,0.85458,0.80085,0.84941,0.65886,1.00198,0.82242,1.27545,0.0006337,0.0006337,0.0006337
76,1401.77,0.75039,0.49056,1.0799,0.86751,0.83587,0.87262,0.64783,1.01578,0.70753,1.26312,0.00062875,0.00062875,0.00062875
77,1426.46,0.73198,0.50262,1.06448,0.83798,0.8106,0.85797,0.64218,1.05634,0.87512,1.27975,0.0006238,0.0006238,0.0006238
78,1451.82,0.75288,0.48956,1.07764,0.93265,0.78915,0.8641,0.64407,1.03385,0.81606,1.26908,0.00061885,0.00061885,0.00061885
79,1476.84,0.70903,0.46917,1.05842,0.92359,0.74572,0.80453,0.62611,1.0412,0.84328,1.33235,0.0006139,0.0006139,0.0006139
80,1502.78,0.72979,0.4898,1.06562,0.91783,0.7371,0.8019,0.63656,1.02393,0.94412,1.31504,0.00060895,0.00060895,0.00060895
81,1529.8,0.69708,0.44694,1.03925,0.90924,0.76296,0.8043,0.6269,1.03001,0.9379,1.2961,0.000604,0.000604,0.000604
